date,World,India,Italy,Spain,United Kingdom,United States
22-01-2020,0,,,,,
23-01-2020,98,,,,,0
24-01-2020,286,,,,,1
25-01-2020,492,,,,,0
26-01-2020,685,,,,,3
27-01-2020,809,,,,,0
28-01-2020,2651,,,,,0
29-01-2020,589,,,,,1
30-01-2020,2068,1,,,,0
31-01-2020,1692,0,2,,2,2
01-02-2020,2111,0,0,1,0,0
02-02-2020,4749,1,0,0,0,0
03-02-2020,3100,1,0,0,6,3
04-02-2020,4011,0,0,0,0,0
05-02-2020,3745,0,0,0,1,0
06-02-2020,3160,0,0,0,0,1
07-02-2020,3593,0,1,0,0,0
08-02-2020,2734,0,0,0,4,0
09-02-2020,3030,0,0,1,1,0
10-02-2020,2609,0,0,0,0,0
11-02-2020,2042,0,0,0,1,1
12-02-2020,418,0,0,0,1,0
13-02-2020,15153,0,0,0,1,1
14-02-2020,6527,0,0,0,1,0
15-02-2020,2143,0,0,0,0,0
16-02-2020,2183,0,0,0,0,0
17-02-2020,2035,0,0,0,1,0
18-02-2020,1882,0,0,0,0,0
19-02-2020,500,0,0,0,1,0
20-02-2020,560,0,0,0,2,0
21-02-2020,629,0,17,0,1,2
22-02-2020,1761,0,42,0,0,0
23-02-2020,380,0,93,0,5,0
24-02-2020,564,0,74,0,2,0
25-02-2020,853,0,93,4,4,0
26-02-2020,977,0,131,7,3,0
27-02-2020,1360,0,202,2,7,1
28-02-2020,1386,0,233,17,12,0
29-02-2020,1891,0,240,13,5,8
01-03-2020,2381,0,566,39,33,7
02-03-2020,1983,2,342,36,40,23
03-03-2020,2594,0,466,45,55,19
04-03-2020,2308,23,587,57,57,33
05-03-2020,2811,2,769,37,49,77
06-03-2020,3913,1,778,141,79,53
07-03-2020,4095,3,1247,100,55,166
08-03-2020,3949,5,1492,173,54,116
09-03-2020,4172,4,1797,400,147,75
10-03-2020,4822,13,977,622,259,188
11-03-2020,7661,6,2313,582,412,365
12-03-2020,5790,11,2651,0,489,439
13-03-2020,14384,9,2547,2955,480,633
14-03-2020,11074,20,3497,1159,364,759
15-03-2020,11269,11,3590,1407,443,234
16-03-2020,14808,6,3233,2144,615,1467
17-03-2020,15943,23,3526,1806,770,1833
18-03-2020,19565,14,4207,2162,1006,2657
19-03-2020,27049,38,5322,4053,1066,4494
20-03-2020,30775,50,5986,2447,1258,6367
21-03-2020,31991,86,6557,4964,1215,5995
22-03-2020,34855,66,5560,3394,1388,8873
23-03-2020,42835,103,4789,6368,2349,11238
24-03-2020,41179,37,5249,4749,2382,10619
25-03-2020,51001,121,5210,9630,2717,12082
26-03-2020,62877,70,6203,8271,3127,17856
27-03-2020,65041,160,5909,7933,3249,18690
28-03-2020,67280,100,5974,7516,2843,19630
29-03-2020,59237,37,5217,6875,2892,18899
30-03-2020,65294,227,4050,7846,4327,22075
